Timestamp,Description
2025-10-16T09:30:07.977934+00:00,ubuntu sshd[988]: Accepted password for loki from 192.168.56.1 port 52261 ssh2
2025-10-16T09:38:31.764206+00:00,ubuntu sshd[988]: Accepted password for loki from 192.168.43.204 port 56920 ssh2
2025-10-16T09:42:48.340159+00:00,ubuntu sshd[1059]: Accepted password for loki from 192.168.43.204 port 50201 ssh2
2025-10-16T16:28:08.986657+00:00,ubuntu sshd[1250]: Failed password for root from 192.168.56.101 port 56802 ssh2
2025-10-16T16:28:09.020963+00:00,ubuntu sshd[1247]: Failed password for root from 192.168.56.101 port 56774 ssh2
2025-10-16T16:28:09.052513+00:00,ubuntu sshd[1249]: Failed password for root from 192.168.56.101 port 56792 ssh2
2025-10-16T16:28:09.111194+00:00,ubuntu sshd[1248]: Failed password for root from 192.168.56.101 port 56776 ssh2
2025-10-16T16:28:12.410881+00:00,ubuntu sshd[1255]: Failed password for invalid user admin from 192.168.56.101 port 56806 ssh2
2025-10-16T16:28:12.434325+00:00,ubuntu sshd[1256]: Failed password for invalid user admin from 192.168.56.101 port 56820 ssh2
2025-10-16T16:28:12.443682+00:00,ubuntu sshd[1257]: Failed password for invalid user admin from 192.168.56.101 port 56836 ssh2
2025-10-16T16:28:12.516190+00:00,ubuntu sshd[1258]: Failed password for invalid user admin from 192.168.56.101 port 56838 ssh2
2025-10-16T16:28:16.066129+00:00,ubuntu sshd[1265]: Failed password for invalid user user from 192.168.56.101 port 56856 ssh2
2025-10-16T16:28:16.070187+00:00,ubuntu sshd[1266]: Failed password for invalid user user from 192.168.56.101 port 56862 ssh2
2025-10-16T16:28:16.074192+00:00,ubuntu sshd[1267]: Failed password for invalid user user from 192.168.56.101 port 56874 ssh2
2025-10-16T16:28:16.400069+00:00,ubuntu sshd[1263]: Failed password for invalid user user from 192.168.56.101 port 56840 ssh2
2025-10-16T16:28:19.063371+00:00,ubuntu sshd[1273]: Failed password for invalid user test from 192.168.56.101 port 34078 ssh2
2025-10-16T16:28:19.081783+00:00,ubuntu sshd[1271]: Failed password for invalid user test from 192.168.56.101 port 34060 ssh2
2025-10-16T16:28:19.315171+00:00,ubuntu sshd[1272]: Failed password for invalid user test from 192.168.56.101 port 34064 ssh2
2025-10-16T16:28:20.742263+00:00,ubuntu sshd[1277]: Failed password for invalid user test from 192.168.56.101 port 34088 ssh2
2025-10-16T16:28:22.588952+00:00,ubuntu sshd[1279]: Failed password for invalid user administrator from 192.168.56.101 port 34096 ssh2
2025-10-16T16:28:22.631237+00:00,ubuntu sshd[1280]: Failed password for invalid user administrator from 192.168.56.101 port 34104 ssh2
2025-10-16T16:28:22.646989+00:00,ubuntu sshd[1281]: Failed password for invalid user administrator from 192.168.56.101 port 34116 ssh2
2025-10-16T16:28:24.012539+00:00,ubuntu sshd[1285]: Failed password for invalid user administrator from 192.168.56.101 port 34130 ssh2
2025-10-17T03:30:59.139802+00:00,ubuntu sshd[1228]: Accepted password for loki from 192.168.56.1 port 59214 ssh2
2025-10-17T03:53:25.906771+00:00,ubuntu sshd[2211]: Accepted password for loki from 192.168.4.204 port 54814 ssh2
2025-10-17T03:55:17.041638+00:00,ubuntu sshd[2273]: Accepted password for loki from 192.168.4.204 port 51313 ssh2
Oct 17 04:04:49,sshd[12345]: Failed password for root from 192.168.4.100 port 22
Oct 17 04:04:53,sshd[12346]: Failed password for invalid user admin from 192.168.4.101 port 22
2025-10-17T15:32:31.387224+00:00,ubuntu sshd[1235]: Accepted password for loki from 10.13.174.204 port 62919 ssh2
2025-10-17T15:47:38.643480+00:00,ubuntu dbus-daemon[694]: [system] Failed to activate service 'org.freedesktop.fwupd': timed out (service_start_timeout=25000ms)
2025-10-17T15:55:34.977154+00:00,ubuntu sshd[1662]: Failed password for root from 10.13.174.8 port 38790 ssh2
2025-10-17T15:55:34.984529+00:00,ubuntu sshd[1663]: Failed password for root from 10.13.174.8 port 38788 ssh2
2025-10-17T15:55:37.970946+00:00,ubuntu sshd[1663]: Failed password for root from 10.13.174.8 port 38788 ssh2
2025-10-17T15:55:38.000480+00:00,ubuntu sshd[1662]: Failed password for root from 10.13.174.8 port 38790 ssh2
2025-10-17T15:55:41.789233+00:00,ubuntu sshd[1666]: Failed password for invalid user admin from 10.13.174.8 port 58964 ssh2
2025-10-17T15:55:41.844760+00:00,ubuntu sshd[1667]: Failed password for invalid user admin from 10.13.174.8 port 58974 ssh2
2025-10-17T15:55:44.755838+00:00,ubuntu sshd[1666]: Failed password for invalid user admin from 10.13.174.8 port 58964 ssh2
2025-10-17T15:55:44.787539+00:00,ubuntu sshd[1667]: Failed password for invalid user admin from 10.13.174.8 port 58974 ssh2
2025-10-17T15:55:47.638836+00:00,ubuntu sshd[1671]: Failed password for invalid user user from 10.13.174.8 port 58988 ssh2
2025-10-17T15:55:47.648580+00:00,ubuntu sshd[1670]: Failed password for invalid user user from 10.13.174.8 port 58982 ssh2
2025-10-17T15:55:49.935889+00:00,ubuntu sshd[1671]: Failed password for invalid user user from 10.13.174.8 port 58988 ssh2
2025-10-17T15:55:49.975985+00:00,ubuntu sshd[1670]: Failed password for invalid user user from 10.13.174.8 port 58982 ssh2
2025-10-17T15:55:52.358705+00:00,ubuntu sshd[1675]: Failed password for invalid user test from 10.13.174.8 port 40684 ssh2
2025-10-17T15:55:52.359674+00:00,ubuntu sshd[1674]: Failed password for invalid user test from 10.13.174.8 port 40668 ssh2
2025-10-17T15:55:56.420754+00:00,ubuntu sshd[1674]: Failed password for invalid user test from 10.13.174.8 port 40668 ssh2
2025-10-17T15:55:56.423598+00:00,ubuntu sshd[1675]: Failed password for invalid user test from 10.13.174.8 port 40684 ssh2
2025-10-18T11:43:55.714052+00:00,ubuntu-forwarder sshd[1223]: Accepted password for loki from 10.13.174.204 port 61328 ssh2
2025-10-24T16:04:39.719873+00:00,ubuntu-forwarder sshd[2159]: Failed password for root from 10.18.160.8 port 60298 ssh2
2025-10-24T16:04:39.958439+00:00,ubuntu-forwarder sshd[2158]: Failed password for root from 10.18.160.8 port 60292 ssh2
